Titre;Identifiant unique;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne;Popularité
The Thaumaturge;https://www.grouvee.com/games/95988-the-thaumaturge/;Mar 4, 2024;PC;;;;;;(3.43 average Grouvee user rating);
Celeste 64: Fragments of the Mountain;https://www.grouvee.com/games/98949-celeste-64-fragments-of-the-mountain/;Jan 29, 2024;Linux, PC;;;;;;(3.41 average Grouvee user rating);
Home Safety Hotline;https://www.grouvee.com/games/98877-home-safety-hotline/;Jan 16, 2024;PC;;;;;;(3.38 average Grouvee user rating);
Supermarket Simulator;https://www.grouvee.com/games/99273-supermarket-simulator/;Feb 20, 2024;PC;;;;;;(3.58 average Grouvee user rating);
Contra: Operation Galuga;https://www.grouvee.com/games/97870-contra-operation-galuga/;Mar 12, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.19 average Grouvee user rating);
EA Sports College Football 25;https://www.grouvee.com/games/86561-ea-sports-college-football-25/;Jul 19, 2024;PlayStation 5, Xbox Series X|S;;;;;;(3.85 average Grouvee user rating);
Cat Quest III;https://www.grouvee.com/games/96934-cat-quest-iii/;Aug 8, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.88 average Grouvee user rating);
World of Warcraft: The War Within;https://www.grouvee.com/games/98230-world-of-warcraft-the-war-within/;Aug 26, 2024;Mac, PC;;;;;;(3.46 average Grouvee user rating);
Crypt Custodian;https://www.grouvee.com/games/101139-crypt-custodian/;Aug 27, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.19 average Grouvee user rating);
Lollipop Chainsaw RePop;https://www.grouvee.com/games/93631-lollipop-chainsaw-repop/;Sep 12, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.35 average Grouvee user rating);
EA Sports FC 25;https://www.grouvee.com/games/100811-ea-sports-fc-25/;Sep 20, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(2.77 average Grouvee user rating);
Infinity Nikki;https://www.grouvee.com/games/100037-infinity-nikki/;Dec 2024;Android, PC, PlayStation 4, PlayStation 5, iPhone;;;;;;(3.54 average Grouvee user rating);
Ultros;https://www.grouvee.com/games/96940-ultros/;Feb 13, 2024;PC, PlayStation 4, PlayStation 5;;;;;;(3.60 average Grouvee user rating);
Pokémon Trading Card Game Pocket;https://www.grouvee.com/games/102127-pokemon-trading-card-game-pocket/;Aug 8, 2024;Android, iPad, iPhone;;;;;;(3.24 average Grouvee user rating);
Snufkin: Melody of Moominvalley;https://www.grouvee.com/games/91717-snufkin-melody-of-moominvalley/;Mar 7, 2024;Mac, Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.71 average Grouvee user rating);
Once Human;https://www.grouvee.com/games/100488-once-human/;Jul 9, 2024;PC;;;;;;(3.13 average Grouvee user rating);
Harry Potter: Quidditch Champions;https://www.grouvee.com/games/100122-harry-potter-quidditch-champions/;Sep 3, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(2.67 average Grouvee user rating);
Diablo IV: Vessel of Hatred;https://www.grouvee.com/games/98233-diablo-iv-vessel-of-hatred/;Oct 2024;Mac, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.33 average Grouvee user rating);
Cryptmaster;https://www.grouvee.com/games/99828-cryptmaster/;May 9, 2024;PC;;;;;;(3.48 average Grouvee user rating);
Brothers: A Tale of Two Sons Remake;https://www.grouvee.com/games/98510-brothers-a-tale-of-two-sons-remake/;Feb 28, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.18 average Grouvee user rating);
SteamWorld Heist II;https://www.grouvee.com/games/99644-steamworld-heist-ii/;Aug 8, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.95 average Grouvee user rating);
LEGO Horizon Adventures;https://www.grouvee.com/games/100121-lego-horizon-adventures/;Nov 14, 2024;Nintendo Switch, PC, PlayStation 5;;;;;;(2.59 average Grouvee user rating);
Lil' Guardsman;https://www.grouvee.com/games/98170-lil-guardsman/;Jan 23, 2024;PC;;;;;;(3.67 average Grouvee user rating);
Skull & Bones;https://www.grouvee.com/games/57912-skull-bones/;Feb 16, 2024;Amazon Luna, PC, PlayStation 5, Xbox Series X|S;;;;;;(2.29 average Grouvee user rating);
Until Then;https://www.grouvee.com/games/100576-until-then/;Jun 25, 2024;PC;;;;;;(4.48 average Grouvee user rating);
World of Goo 2;https://www.grouvee.com/games/98516-world-of-goo-2/;Aug 2, 2024;Nintendo Switch, PC;;;;;;(3.81 average Grouvee user rating);
Nintendo World Championships: NES Edition;https://www.grouvee.com/games/99812-nintendo-world-championships-nes-edition/;Jul 18, 2024;Nintendo Switch;;;;;;(3.55 average Grouvee user rating);
Shogun Showdown;https://www.grouvee.com/games/101497-shogun-showdown/;Sep 5, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.65 average Grouvee user rating);
Tiny Glade;https://www.grouvee.com/games/100495-tiny-glade/;Sep 23, 2024;Linux, PC;;;;;;(3.70 average Grouvee user rating);
Monument Valley III;https://www.grouvee.com/games/101082-monument-valley-iii/;Dec 10, 2024;;;;;;;(3.95 average Grouvee user rating);
Momodora: Moonlit Farewell;https://www.grouvee.com/games/94450-momodora-moonlit-farewell/;Jan 11, 2024;PC;;;;;;(3.42 average Grouvee user rating);
Foamstars;https://www.grouvee.com/games/96935-foamstars/;Feb 6, 2024;PlayStation 4, PlayStation 5;;;;;;(2.32 average Grouvee user rating);
Hauntii;https://www.grouvee.com/games/100013-hauntii/;May 23, 2024;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.11 average Grouvee user rating);
Apollo Justice: Ace Attorney Trilogy;https://www.grouvee.com/games/97155-apollo-justice-ace-attorney-trilogy/;Jan 25, 2024;Nintendo Switch, PC, PlayStation 4, Xbox One;;;;;;(4.11 average Grouvee user rating);
South Park: Snow Day;https://www.grouvee.com/games/97647-south-park-snow-day/;Mar 26, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(1.78 average Grouvee user rating);
Arranger: A Role-Puzzling Adventure;https://www.grouvee.com/games/100348-arranger-a-role-puzzling-adventure/;Jul 25, 2024;PC;;;;;;(3.22 average Grouvee user rating);
Ravenswatch;https://www.grouvee.com/games/93655-ravenswatch/;Sep 26, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.61 average Grouvee user rating);
Metal Slug Tactics;https://www.grouvee.com/games/88102-metal-slug-tactics/;Nov 5, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.33 average Grouvee user rating);
No Rest for the Wicked;https://www.grouvee.com/games/98519-no-rest-for-the-wicked/;Apr 18, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.53 average Grouvee user rating);
Gestalt: Steam & Cinder;https://www.grouvee.com/games/82969-gestalt-steam-cinder/;Jul 16, 2024;Nintendo Switch, PC;;;;;;(3.53 average Grouvee user rating);
Visions of Mana;https://www.grouvee.com/games/98522-visions-of-mana/;Aug 29, 2024;PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.71 average Grouvee user rating);
Romancing SaGa 2: Revenge of the Seven;https://www.grouvee.com/games/100417-romancing-saga-2-revenge-of-the-seven/;Oct 24, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(4.24 average Grouvee user rating);
Anomaly Agent;https://www.grouvee.com/games/98676-anomaly-agent/;Jan 24, 2024;PC;;;;;;(3.81 average Grouvee user rating);
Arzette: The Jewel of Faramore;https://www.grouvee.com/games/97466-arzette-the-jewel-of-faramore/;Feb 14, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.38 average Grouvee user rating);
Minami Lane;https://www.grouvee.com/games/99269-minami-lane/;Feb 28, 2024;Linux, Mac, PC;;;;;;(3.94 average Grouvee user rating);
The Operator;https://www.grouvee.com/games/100508-the-operator/;Q3 2024;Linux, Mac, PC;;;;;;(3.94 average Grouvee user rating);
Arco;https://www.grouvee.com/games/100323-arco/;Aug 15, 2024;Mac, Nintendo Switch, PC;;;;;;(3.75 average Grouvee user rating);
Dead Rising Deluxe Remaster;https://www.grouvee.com/games/100581-dead-rising-deluxe-remaster/;Sep 19, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.88 average Grouvee user rating);
