Titre;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne
Metal Slug Tactics;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.33 average Grouvee user rating)
No Rest for the Wicked;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.53 average Grouvee user rating)
Gestalt: Steam & Cinder;2024;Nintendo Switch, PC;;;;;;(3.53 average Grouvee user rating)
Visions of Mana;2024;PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.71 average Grouvee user rating)
Romancing SaGa 2: Revenge of the Seven;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(4.24 average Grouvee user rating)
Anomaly Agent;2024;PC;;;;;;(3.81 average Grouvee user rating)
Arzette: The Jewel of Faramore;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.38 average Grouvee user rating)
Minami Lane;2024;Linux, Mac, PC;;;;;;(3.94 average Grouvee user rating)
The Operator;2024;Linux, Mac, PC;;;;;;(3.94 average Grouvee user rating)
Arco;2024;Mac, Nintendo Switch, PC;;;;;;(3.75 average Grouvee user rating)
Dead Rising Deluxe Remaster;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.88 average Grouvee user rating)
Webfishing;2024;PC;;;;;;(3.50 average Grouvee user rating)
AFK Journey;2024;Android, PC, iPad, iPhone;;;;;;(3.67 average Grouvee user rating)
Rabbit and Steel;2024;PC;;;;;;(4.07 average Grouvee user rating)
Fields of Mistria;2024;PC;;;;;;(4.53 average Grouvee user rating)
Dustborn;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(1.80 average Grouvee user rating)
Ace Attorney Investigations Collection;2024;Nintendo Switch, PC, PlayStation 4, Xbox One;;;;;;(4.60 average Grouvee user rating)
Caravan SandWitch;2024;PC;;;;;;(3.73 average Grouvee user rating)
Go Mecha Ball;2024;PC, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating)
Sand Land;2024;PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(2.93 average Grouvee user rating)
Arctic Eggs;2024;PC;;;;;;(3.93 average Grouvee user rating)
Tiny Terry's Turbo Trip;2024;PC;;;;;;(3.79 average Grouvee user rating)
Five Nights at Freddy's: Into the Pit;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.71 average Grouvee user rating)
Concord;2024;PC, PlayStation 5;;;;;;(2.21 average Grouvee user rating)
TCG Card Shop Simulator;2024;PC;;;;;;(3.14 average Grouvee user rating)
Echo Point Nova;2024;PC;;;;;;(4.00 average Grouvee user rating)
Slitterhead;2024;PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.43 average Grouvee user rating)
Poppy Playtime - Chapter 3;2024;PC;;;;;;(3.46 average Grouvee user rating)
MLB The Show 24;2024;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.31 average Grouvee user rating)
Yellow Taxi Goes Vroom;2024;PC;;;;;;(3.85 average Grouvee user rating)
Isles of Sea and Sky;2024;Linux, Mac, Nintendo Switch, PC;;;;;;(3.92 average Grouvee user rating)
Flock;2024;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.23 average Grouvee user rating)
Bo: Path of the Teal Lotus;2024;Nintendo Switch, PC;;;;;;(4.08 average Grouvee user rating)
Sorry We're Closed;2024;PC;;;;;;(3.92 average Grouvee user rating)
Hollowbody;2024;PC;;;;;;(2.58 average Grouvee user rating)
The Wolf Among Us: Season 2;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.08 average Grouvee user rating)
Rental;2024;PC;;;;;;(3.00 average Grouvee user rating)
Riven;2024;Mac, Meta Quest, PC;;;;;;(4.67 average Grouvee user rating)
Conscript;2024;PC;;;;;;(3.67 average Grouvee user rating)
Castlevania Dominus Collection;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(4.50 average Grouvee user rating)
Gori: Cuddly Carnage;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.17 average Grouvee user rating)
Bloomtown: A Different Story;2024;PC;;;;;;(3.08 average Grouvee user rating)
Awaria;2024;PC;;;;;;(3.75 average Grouvee user rating)
Boxes: Lost Fragments;2024;Android, PC, iPhone;;;;;;(3.36 average Grouvee user rating)
Splatoon 3: Side Order;2024;Nintendo Switch;;;;;;(4.00 average Grouvee user rating)
#BLUD;2024;PC;;;;;;(2.45 average Grouvee user rating)
Schim;2024;Linux, Mac, PC, PlayStation 4, PlayStation 5;;;;;;(2.36 average Grouvee user rating)
Doom + Doom II;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.45 average Grouvee user rating)
Shadow of the Ninja - Reborn;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.73 average Grouvee user rating)
Squirrel with a Gun;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.09 average Grouvee user rating)
I Am Your Beast;2024;PC;;;;;;(4.09 average Grouvee user rating)
Ara: History Untold;2024;PC;;;;;;(2.45 average Grouvee user rating)
Loco Motive;2024;Mac, Nintendo Switch, PC;;;;;;(3.09 average Grouvee user rating)
Mighty Morphin Power Rangers: Rita's Rewind;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.64 average Grouvee user rating)
Creatures of Ava;2024;PC;;;;;;(3.40 average Grouvee user rating)
Gundam Breaker 4;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(3.70 average Grouvee user rating)
Paleo Pines;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating)
Star Wars: Battlefront Classic Collection;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(2.80 average Grouvee user rating)
Doronko Wanko;2024;PC;;;;;;(3.70 average Grouvee user rating)
Biomorph;2024;PC;;;;;;(3.40 average Grouvee user rating)
Withering Rooms;2024;PC;;;;;;(4.10 average Grouvee user rating)
Paper Trail;2024;Android, Mac, PC, iPhone;;;;;;(3.30 average Grouvee user rating)
Leap Year;2024;PC;;;;;;(4.00 average Grouvee user rating)
Super Monkey Ball: Banana Rumble;2024;Nintendo Switch;;;;;;(3.70 average Grouvee user rating)
The Crimson Diamond;2024;PC;;;;;;(4.00 average Grouvee user rating)
Garden of the Sea;2024;Nintendo Switch, PC;;;;;;(3.00 average Grouvee user rating)
Liar's Bar;2024;PC;;;;;;(3.20 average Grouvee user rating)
A Quiet Place: The Road Ahead;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.40 average Grouvee user rating)
Rivals of Aether II;2024;PC;;;;;;(3.40 average Grouvee user rating)
Mind Over Magnet;2024;PC;;;;;;(3.60 average Grouvee user rating)
Fantasian Neo Dimension;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating)
While We Wait Here;2024;PC;;;;;;(3.67 average Grouvee user rating)
Windblown;2024;PC;;;;;;(3.67 average Grouvee user rating)
The Last Flame;2024;PC;;;;;;(3.22 average Grouvee user rating)
King of the Bridge;2024;PC;;;;;;(2.89 average Grouvee user rating)
Saviorless;2024;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(2.89 average Grouvee user rating)
Fallen Aces;2024;PC;;;;;;(3.56 average Grouvee user rating)
Dungeonborne;2024;PC;;;;;;(3.22 average Grouvee user rating)
Fallout London;2024;PC;;;;;;(3.44 average Grouvee user rating)
Cygni: All Guns Blazing;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.78 average Grouvee user rating)
Crime Scene Cleaner;2024;PC;;;;;;(3.67 average Grouvee user rating)
Marvel vs Capcom Fighting Collection - Arcade Classics;2024;Nintendo Switch, PC, PlayStation 4, Xbox One;;;;;;(4.56 average Grouvee user rating)
Wild Bastards;2024;PC;;;;;;(3.22 average Grouvee user rating)
Enotria The Last Song;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.89 average Grouvee user rating)
Lorn's Lure;2024;PC;;;;;;(3.78 average Grouvee user rating)
Rogue Waters;2024;PC;;;;;;(2.89 average Grouvee user rating)
MechWarrior 5: Clans;2024;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.44 average Grouvee user rating)
Microsoft Flight Simulator 2024;2024;PC, Xbox Series X|S;;;;;;(3.22 average Grouvee user rating)
TEST TEST TEST;2024;PC;;;;;;(3.63 average Grouvee user rating)
The Cub;2024;PC;;;;;;(3.50 average Grouvee user rating)
Under Night In-Birth II: Sys:Celes;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(4.25 average Grouvee user rating)
Berserk Boy;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.50 average Grouvee user rating)
Abiotic Factor;2024;PC;;;;;;(4.25 average Grouvee user rating)
The WereCleaner;2024;PC;;;;;;(3.88 average Grouvee user rating)
Rolling Hills: Make Sushi, Make Friends;2024;PC;;;;;;(2.50 average Grouvee user rating)
