Titre;Identifiant unique;Date de sortie;;Développeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Liminalcore;https://www.grouvee.com/games/101843-liminalcore/;Oct 28, 2024;;Ashen Studios , Shadow Owl Studios;Ashen Studios , Shadow Owl Studios;Adventure , Horror , Simulation;;5.00;
Reel Fishing: Days of Summer;https://www.grouvee.com/games/99178-reel-fishing-days-of-summer/;Oct 28, 2024;;;Natsume;Fishing;Reel Fishing;3.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
The Fear Business;https://www.grouvee.com/games/101895-the-fear-business/;Oct 28, 2024;;;Torture Star Video;Horror;;5.00;PC
Breach the Abyss;https://www.grouvee.com/games/101726-breach-the-abyss/;Oct 29, 2024;;;;Action , Shooter;;4.00;PC
Blackheart;https://www.grouvee.com/games/101881-blackheart/;Oct 30, 2024;;;;Action-Adventure , Role-Playing;;2.00;PC
THROUGH;https://www.grouvee.com/games/102087-through/;Oct 30, 2024;;;;Action;;1.00;PC
Behemoth;https://www.grouvee.com/games/102232-behemoth/;Oct 31, 2024;;The Behemoth;The Behemoth;Action;;3.00;PC
Darso Roads;https://www.grouvee.com/games/102915-darso-roads/;Oct 31, 2024;;Vikintor;Vikintor;Driving/Racing , Horror;;2.00;PC
No More Room In Hell 2;https://www.grouvee.com/games/93295-no-more-room-in-hell-2/;Oct 31, 2024;;Lever Games;Lever Games;Action , First-Person Shooter;No More Room In Hell;3.00;PC
Totally Spies! Cyber Mission;https://www.grouvee.com/games/100721-totally-spies-cyber-mission/;Oct 31, 2024;;Balio Studio , Vetasoft;Microïds;Action-Adventure , Puzzle;Totally Spies;3.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Homicipher;https://www.grouvee.com/games/103027-homicipher/;Nov 1, 2024;;八名木Games , 斑企画;Gamera Games;Horror , Visual Novel;;4.00;Android, PC
Death Note: Killer Within;https://www.grouvee.com/games/101835-death-note-killer-within/;Nov 5, 2024;;Grounding Inc.;Namco Bandai Games Inc.;Strategy;Death Note;1.00;PC, PlayStation 4, PlayStation 5
Freenergy;https://www.grouvee.com/games/102005-freenergy/;Nov 7, 2024;;;;Strategy;;2.00;PC
River City Saga: Three Kingdoms Next;https://www.grouvee.com/games/100819-river-city-saga-three-kingdoms-next/;Nov 7, 2024;;R-Force Entertainment;Arc System Works Co., Ltd.;Brawler;Kunio-Kun;4.00;Nintendo Switch, PC, PlayStation 4
The Strange Story Of Brian Fisher: Chapter 2;https://www.grouvee.com/games/101961-the-strange-story-of-brian-fisher-chapter-2/;Nov 8, 2024;;;;Adventure , Puzzle;;2.00;PC
HeistGeist;https://www.grouvee.com/games/101992-heistgeist/;Nov 11, 2024;;;;Adventure , Card Game , Role-Playing;;5.00;PC
Liminal Universe;https://www.grouvee.com/games/102504-liminal-universe/;Nov 12, 2024;;Gvn Games;Gvn Games;Horror , Simulation;;4.00;PC
Crusty Proto;https://www.grouvee.com/games/102681-crusty-proto/;Nov 13, 2024;;3DI70R;3DI70R;Action , Horror;;2.00;PC
420BLAZEIT 2: GAME OF THE YEAR;https://www.grouvee.com/games/101993-420blazeit-2-game-of-the-year/;Nov 14, 2024;;;;Shooter;;3.00;PC
Brutal Katana;https://www.grouvee.com/games/102007-brutal-katana/;Nov 14, 2024;;;;;;3.00;PC
Echoes of Dread;https://www.grouvee.com/games/102105-echoes-of-dread/;Nov 15, 2024;;;;Horror , Puzzle;;2.00;PC
Project Shoreline;https://www.grouvee.com/games/102124-project-shoreline/;Nov 15, 2024;;;;Adventure , Platformer;;2.00;PC
Saturn;https://www.grouvee.com/games/102088-saturn/;Nov 15, 2024;;;;Role-Playing;;4.00;PC
Kingdoms of Age;https://www.grouvee.com/games/102125-kingdoms-of-age/;Nov 18, 2024;;;;Card Game;;1.00;PC
Threshold;https://www.grouvee.com/games/102577-threshold/;Nov 19, 2024;;;Critical Reflex;Adventure , Horror;;5.00;PC
Ultra Cop;https://www.grouvee.com/games/102372-ultra-cop/;Nov 19, 2024;;JG Roos;MercySoft;First-Person Shooter;;3.00;PC
Cook For Love;https://www.grouvee.com/games/102050-cook-for-love/;Nov 21, 2024;;RedDeerGames;RedDeerGames;;;3.00;Nintendo Switch
Lifetakers & Heartbreakers;https://www.grouvee.com/games/102122-lifetakers-heartbreakers/;Nov 21, 2024;;;;Shooter;;1.00;PC
Cardaire;https://www.grouvee.com/games/102233-cardaire/;Nov 22, 2024;;;;Card Game , Role-Playing;;3.00;PC
Starship Troopers Continuum;https://www.grouvee.com/games/102013-starship-troopers-continuum/;Nov 25, 2024;;XR Games;Sony Pictures Virtual Reality;Action , First-Person Shooter , Shooter;Starship Troopers;2.00;Meta Quest, PlayStation 5
Mindlock - The Apartment;https://www.grouvee.com/games/102601-mindlock-the-apartment/;Nov 26, 2024;;;;Puzzle;;3.00;PC
Love Angel Syndrome;https://www.grouvee.com/games/102319-love-angel-syndrome/;Nov 27, 2024;;;;Visual Novel;;3.00;PC
Vartra Abyss;https://www.grouvee.com/games/102123-vartra-abyss/;Nov 28, 2024;;;;Action-Adventure , Role-Playing;;1.00;PC
The House of Da Vinci VR;https://www.grouvee.com/games/102586-the-house-of-da-vinci-vr/;Dec 4, 2024;;Blue Brain Games;Blue Brain Games;Puzzle;The House of Da Vinci;3.00;Meta Quest
Dragon Eclipse;https://www.grouvee.com/games/102527-dragon-eclipse/;Dec 5, 2024;;;;Card Game;;3.00;PC
Entropy Survivors;https://www.grouvee.com/games/102470-entropy-survivors/;Dec 5, 2024;;Moving Pieces Interactive;;Action , Dual-Joystick Shooter;;2.00;PC, PlayStation 5, Xbox Series X|S
Skydance's BEHEMOTH;https://www.grouvee.com/games/102177-skydances-behemoth/;Dec 5, 2024;;;;Action-Adventure;;4.00;Meta Quest, PC, PlayStation 5
Chosen Card Chronicles;https://www.grouvee.com/games/102346-chosen-card-chronicles/;Dec 6, 2024;;;;Card Game;;1.00;PC
The Thing Remastered;https://www.grouvee.com/games/102236-the-thing-remastered/;Dec 6, 2024;;;;Action , Horror , Shooter;;3.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Fairy Tail 2;https://www.grouvee.com/games/100408-fairy-tail-2/;Dec 11, 2024;;GUST Co., Ltd. , Tecmo Koei Co., Ltd.;Tecmo Koei Co., Ltd.;Adventure , Role-Playing;Fairy Tail;3.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Breath of Death VII: The Beginning: Reanimated;https://www.grouvee.com/games/102418-breath-of-death-vii-the-beginning-reanimated/;Dec 12, 2024;;;;Role-Playing;;4.00;PC
Cabin Factory;https://www.grouvee.com/games/102946-cabin-factory/;Dec 13, 2024;;;;Horror;;4.00;PC
KLETKA;https://www.grouvee.com/games/102860-kletka/;Dec 13, 2024;;Callback , in404;Callback , in404;Horror;;4.00;PC
The Cabin Factory;https://www.grouvee.com/games/102917-the-cabin-factory/;Dec 13, 2024;;;Future Friends Games;Adventure , Horror , Simulation;;2.00;PC
The Power of Doznath;https://www.grouvee.com/games/102947-the-power-of-doznath/;Dec 13, 2024;;;;Action , Role-Playing;;1.00;PC
The Dark Queen of Mortholme;https://www.grouvee.com/games/102787-the-dark-queen-of-mortholme/;Dec 16, 2024;;;Itch.io;Action-Adventure;;4.00;Linux, Mac, PC
On Your Tail;https://www.grouvee.com/games/100250-on-your-tail/;Dec 16, 2024;;Memorable Games;Humble Bundle;Adventure;;4.00;Nintendo Switch, PC
Usagi Sekai - Bunny Shaman;https://www.grouvee.com/games/102351-usagi-sekai-bunny-shaman/;Dec 16, 2024;;;;Card Game;;2.00;PC
Tarisland;https://www.grouvee.com/games/102435-tarisland/;Dec 24, 2024;;;;;;2.00;PC
REVEREX: DX;https://www.grouvee.com/games/102526-reverex-dx/;Dec 25, 2024;;;;Action , Platformer;;2.00;PC
10 Dead Doves;https://www.grouvee.com/games/100511-10-dead-doves/;dimanche 16 juillet 1905;;Duonix Studios , Mark Byram II , Sean-Michael Millard;Duonix Studios;Action-Adventure;;0;PC
171;https://www.grouvee.com/games/95144-171/;dimanche 16 juillet 1905;;Betagames Group;;Action-Adventure;;0;PC
33 Immortals;https://www.grouvee.com/games/97128-33-immortals/;dimanche 16 juillet 1905;;Thunder Lotus Games;Thunder Lotus Games;Action;;0;PC, Xbox Series X|S
Albatroz;https://www.grouvee.com/games/100256-albatroz/;dimanche 16 juillet 1905;;Among Giants;Soedesco;Adventure;;0;PC
Ale Abbey;https://www.grouvee.com/games/100189-ale-abbey/;dimanche 16 juillet 1905;;Hammer&Ravens;Shiro Unlimited;Simulation;;0;PC
Amerzone: The Explorer's Legacy;https://www.grouvee.com/games/100739-amerzone-the-explorers-legacy/;dimanche 16 juillet 1905;;;;;;0;
Among the Stars;https://www.grouvee.com/games/100332-among-the-stars/;dimanche 16 juillet 1905;;Hidden Universe Games;Hidden Object Universe;Role-Playing , Simulation;;0;PC
ArcheAge Chronicles;https://www.grouvee.com/games/93562-archeage-chronicles/;dimanche 16 juillet 1905;;XLGames;Kakao Games;MMORPG;ArcheAge;0;PC, PlayStation 5
Beastieball;https://www.grouvee.com/games/101307-beastieball/;dimanche 16 juillet 1905;;Wishes Ultd.;Klei Entertainment Inc.;Role-Playing , Sports;;0;Mac, PC
Beneath;https://www.grouvee.com/games/96093-beneath/;dimanche 16 juillet 1905;;Camel 101;Camel 101;;;0;PC, PlayStation 5, Xbox Series X|S
Beyond These Stars;https://www.grouvee.com/games/96305-beyond-these-stars/;dimanche 16 juillet 1905;;Balancing Monkey Games;Hooded Horse;Simulation , Strategy;;0;PC
Bloodrush: Undying Wish;https://www.grouvee.com/games/100381-bloodrush-undying-wish/;dimanche 16 juillet 1905;;Lightmancer Studios;Lightmancer Studios;Action;;0;Linux, PC
BrokenLore: UNFOLLOW;https://www.grouvee.com/games/100754-brokenlore-unfollow/;dimanche 16 juillet 1905;;Serafini Productions;Serafini Productions;;;0;
Chaos Code -Nemesis Experiment-;https://www.grouvee.com/games/54609-chaos-code-nemesis-experiment/;dimanche 16 juillet 1905;;FK Digital;FK Digital;Fighting;Chaos Code;0;Arcade
Chasmal Fear;https://www.grouvee.com/games/97977-chasmal-fear/;dimanche 16 juillet 1905;;MystiveDev;MystiveDev;Action-Adventure;;0;PC
Creeper World IXE;https://www.grouvee.com/games/100277-creeper-world-ixe/;dimanche 16 juillet 1905;;Knuckle Cracker;Knuckle Cracker;Real-Time Strategy , Simulation;Creeper World;0;PC
Debtors' Club;https://www.grouvee.com/games/100556-debtors-club/;dimanche 16 juillet 1905;;mecagames;indie.io;Adventure;;0;PC
Deep Space Directive;https://www.grouvee.com/games/97681-deep-space-directive/;dimanche 16 juillet 1905;;One Wheel Studio;One Wheel Studio;Simulation , Strategy;;0;PC
Diesel Legacy: The Brazen Age;https://www.grouvee.com/games/97158-diesel-legacy-the-brazen-age/;dimanche 16 juillet 1905;;Modus Games , Modus Studios Brazil;Modus Games;Fighting;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Digested;https://www.grouvee.com/games/100785-digested/;dimanche 16 juillet 1905;;;;;;0;
Disco Samurai;https://www.grouvee.com/games/100100-disco-samurai/;dimanche 16 juillet 1905;;Pixel Fiber Games;We Dig Games;Action , Music/Rhythm;;0;PC
Dodge This;https://www.grouvee.com/games/99071-dodge-this/;dimanche 16 juillet 1905;;Lionia;;Action , Shooter;;0;PC
Dragon Ball Project: Multi;https://www.grouvee.com/games/101156-dragon-ball-project-multi/;dimanche 16 juillet 1905;;Ganbarion Co., Ltd.;Namco Bandai Games Inc.;MOBA;Dragon Ball;0;Android, PC, iPad, iPhone
Earthion;https://www.grouvee.com/games/101320-earthion/;dimanche 16 juillet 1905;;Ancient;Limited Run Games;Shoot 'Em Up;;0;Genesis, Nintendo Switch, PlayStation 5
Emberbane;https://www.grouvee.com/games/96880-emberbane/;lundi 1 janvier 2024;;Hamlet Games;Hamlet Games;Action;;0;PC
Every Day We Fight;https://www.grouvee.com/games/100562-every-day-we-fight/;dimanche 16 juillet 1905;;Signal Space Lab;Hooded Horse;Strategy;;0;PC
Fool's End;https://www.grouvee.com/games/98087-fools-end/;Q1 2024;;;;Action , Platformer;;0;PC
Forgotlings;https://www.grouvee.com/games/97060-forgotlings/;lundi 1 janvier 2024;;TroughLine Games;Hitcents;Action-Adventure;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Forgotten But Unbroken;https://www.grouvee.com/games/100526-forgotten-but-unbroken/;dimanche 16 juillet 1905;;Centurion Developments;MicroProse Software, Inc.;Strategy;;0;PC
Fretless - The Wrath of Riffson;https://www.grouvee.com/games/97207-fretless-the-wrath-of-riffson/;dimanche 16 juillet 1905;;Ritual Studios;Playdigious;Role-Playing;;0;PC
Godzilla X Kong: Titan Chasers;https://www.grouvee.com/games/99235-godzilla-x-kong-titan-chasers/;Q1 2024;;Tilting Point;Tilting Point;Strategy;Godzilla , King Kong;0;Android
Grifford Academy;https://www.grouvee.com/games/100141-grifford-academy/;dimanche 16 juillet 1905;;LandShark Games;;Role-Playing;;0;PC
Heart Of Muriet;https://www.grouvee.com/games/92176-heart-of-muriet/;lundi 1 janvier 2024;;CRATR.games , Microtale;CRATR.games , Microtale;Real-Time Strategy , Strategy;;0;PC
Hero.EXE;https://www.grouvee.com/games/89437-heroexe/;lundi 1 janvier 2024;;Mystery Egg Games;Top Hat Studios, Inc;Action-Adventure , Card Game , Role-Playing;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Hidden in My Paradise;https://www.grouvee.com/games/100317-hidden-in-my-paradise/;dimanche 16 juillet 1905;;Ogre Pixel;Ogre Pixel;Simulation;;0;Linux, Mac, PC
Immortal Hunters;https://www.grouvee.com/games/100148-immortal-hunters/;dimanche 16 juillet 1905;;Admiral Games;Admiral Games;Action-Adventure , Brawler , Role-Playing;;0;Mac, PC
Into the Dead: Our Darkest Days;https://www.grouvee.com/games/95362-into-the-dead-our-darkest-days/;dimanche 16 juillet 1905;;PikPok;PikPok;Action , Simulation;Into the Dead;0;PC
John Carpenter's Toxic Commando;https://www.grouvee.com/games/97090-john-carpenters-toxic-commando/;dimanche 16 juillet 1905;;Saber Interactive;Focus Home Interactive;First-Person Shooter;;0;PC, PlayStation 5, Xbox Series X|S
Jump Ship;https://www.grouvee.com/games/100856-jump-ship/;dimanche 16 juillet 1905;;Keepsake Games;Keepsake Games;First-Person Shooter , Shooter;;0;PC
Kingmakers;https://www.grouvee.com/games/100800-kingmakers/;dimanche 16 juillet 1905;;;tinyBuild;;;0;
Legends of Old;https://www.grouvee.com/games/95770-legends-of-old/;dimanche 16 juillet 1905;;;;Role-Playing;;0;PC
Little Problems;https://www.grouvee.com/games/100116-little-problems/;dimanche 16 juillet 1905;;Posh Cat Studios;PlayStack;Adventure;;0;PC
Little Sim World;https://www.grouvee.com/games/97692-little-sim-world/;Q1 2024;;;;Simulation;;0;Mac, PC
Magical Bakery;https://www.grouvee.com/games/100258-magical-bakery/;dimanche 16 juillet 1905;;Superlumen;Soedesco;Simulation;;0;PC
Mariachi Legends;https://www.grouvee.com/games/97149-mariachi-legends/;dimanche 16 juillet 1905;;Halberd Studios;Freedom Games;Action-Adventure;;0;PC
Mars Tactics;https://www.grouvee.com/games/96442-mars-tactics/;dimanche 16 juillet 1905;;Takibi Games;Hooded Horse;;;0;PC
Mexico, 1921. A Deep Slumber.;https://www.grouvee.com/games/100333-mexico-1921-a-deep-slumber/;dimanche 16 juillet 1905;;Mácula Interactive;Mácula Interactive;Adventure;;0;PC
Mind Over Magnet;https://www.grouvee.com/games/100386-mind-over-magnet/;dimanche 16 juillet 1905;;Game Maker's Toolkit;Game Maker's Toolkit;Puzzle;;0;PC
Minigolf Blast;https://www.grouvee.com/games/98671-minigolf-blast/;Q1 2024;;;Top Meadow;Golf;;0;PC
NEO BERLIN 2087;https://www.grouvee.com/games/100765-neo-berlin-2087/;dimanche 16 juillet 1905;;;;;;0;
Ninja Slayer: Neo-Saitama in Flames;https://www.grouvee.com/games/100104-ninja-slayer-neo-saitama-in-flames/;dimanche 16 juillet 1905;;Skeleton Crew Studio;ABC Animation , Kadokawa Games;Action;;0;PC
Obscurity: Unknown Threat;https://www.grouvee.com/games/93997-obscurity-unknown-threat/;dimanche 16 juillet 1905;;Obscure Creations;Obscure Creations;First-Person Shooter , Shooter;;0;Linux, Mac, PC
Once Upon a Puppet;https://www.grouvee.com/games/59969-once-upon-a-puppet/;dimanche 16 juillet 1905;;Flatter Than Earth;;Adventure , Platformer , Puzzle;;0;PC
Petal Crash 2;https://www.grouvee.com/games/98066-petal-crash-2/;dimanche 16 juillet 1905;;Blastwing , Friend & Fairy;GalaxyTrail Games;Puzzle;Petal Crash;0;
Planetiles;https://www.grouvee.com/games/98368-planetiles/;dimanche 16 juillet 1905;;MythicOwl;The Iterative Collective;Puzzle;;0;
RunMan Turbo;https://www.grouvee.com/games/101329-runman-turbo/;dimanche 16 juillet 1905;;Tom Sennett;Tom Sennett;Platformer;RunMan;0;PC
Runa & The Chaikurú Legacy;https://www.grouvee.com/games/100327-runa-the-chaikuru-legacy/;dimanche 16 juillet 1905;;Fanny Pack Studios;Fanny Pack Studios;Platformer;;0;Linux, Mac, PC
ShapeHero Factory;https://www.grouvee.com/games/98117-shapehero-factory/;lundi 1 janvier 2024;;Asobism;Asobism;Real-Time Strategy , Simulation , Strategy;;0;PC
Sky Defense: War Duty;https://www.grouvee.com/games/101638-sky-defense-war-duty/;lundi 1 janvier 2024;;;Horus Entertainment;Action;;0;Android, iPhone
Sky Oceans: Wings for Hire;https://www.grouvee.com/games/100137-sky-oceans-wings-for-hire/;dimanche 16 juillet 1905;;Octeto Studios;PQube;Role-Playing;;0;PC
Spanky!;https://www.grouvee.com/games/98818-spanky/;lundi 1 janvier 2024;;;;Platformer;;0;PC
Starminer;https://www.grouvee.com/games/98417-starminer/;dimanche 16 juillet 1905;;Cool And Good Games;Paradox Arc;Real-Time Strategy , Simulation , Strategy;;0;PC
Stay with Me! Alien Abduction Story;https://www.grouvee.com/games/100378-stay-with-me-alien-abduction-story/;dimanche 16 juillet 1905;;Dreams of Heaven;Dreams of Heaven;Adventure;;0;Linux, Mac, PC
Steel Seed;https://www.grouvee.com/games/97119-steel-seed/;dimanche 16 juillet 1905;;Storm in a Teacup;Storm in a Teacup;Action-Adventure;;0;PC, PlayStation 5, Xbox Series X|S
Supermoves;https://www.grouvee.com/games/98598-supermoves/;dimanche 16 juillet 1905;;Makea Games;Makea Games;Action , Minigame Collection , Platformer , Sports;;0;PC
Tales of Seikyu;https://www.grouvee.com/games/99791-tales-of-seikyu/;dimanche 16 juillet 1905;;ACE Entertainment;ACE Entertainment , Sold Out;Adventure , Simulation;;0;Nintendo Switch, PC
The Crust;https://www.grouvee.com/games/93541-the-crust/;lundi 1 janvier 2024;;VEOM Studio;VEOM Studio;Strategy;;0;PC
The Lost Wild;https://www.grouvee.com/games/92166-the-lost-wild/;dimanche 16 juillet 1905;;Great Ape Games;Annapurna Interactive;Action-Adventure;;0;PC
The Night Wanderer;https://www.grouvee.com/games/99541-the-night-wanderer/;Jan 1, 2024;;Mighty Koi;Mighty Koi;Action-Adventure;;0;PC, PlayStation 5, Xbox Series X|S
The Phantom;https://www.grouvee.com/games/101511-the-phantom/;dimanche 16 juillet 1905;;Art Of Play Interactive;Art Of Play Interactive;Brawler;The Phantom;0;PC
The Starbites: Taste of Desert;https://www.grouvee.com/games/101545-the-starbites-taste-of-desert/;dimanche 16 juillet 1905;;IKINA GAMES;IKINA GAMES;Role-Playing;;0;PC, PlayStation 5, Xbox Series X|S
Tidy Cauldron;https://www.grouvee.com/games/100284-tidy-cauldron/;dimanche 16 juillet 1905;;Purring Campfire;Purring Campfire;Puzzle;;0;PC
Towers of Aghasba;https://www.grouvee.com/games/96937-towers-of-aghasba/;dimanche 16 juillet 1905;;Dreamlit Games;;Action-Adventure , Role-Playing;;0;PC, PlayStation 5
Umami Grove;https://www.grouvee.com/games/100282-umami-grove/;dimanche 16 juillet 1905;;Pomshine Games;DANGEN Entertainment;Adventure;;0;PC
Unawake;https://www.grouvee.com/games/98420-unawake/;dimanche 16 juillet 1905;;RealityArts Studio;Toplitz-Productions;Action;;0;PC
Under Canopies;https://www.grouvee.com/games/100367-under-canopies/;dimanche 16 juillet 1905;;Novemtails;Novemtails;Simulation;;0;PC
Urban Jungle;https://www.grouvee.com/games/100405-urban-jungle/;dimanche 16 juillet 1905;;Kylyk Games;Assemble Entertainment;Simulation;;0;PC
Vivaland;https://www.grouvee.com/games/100003-vivaland/;dimanche 16 juillet 1905;;;HypeTrain Digital;Simulation;;0;PC
Wheel World;https://www.grouvee.com/games/97368-wheel-world/;dimanche 16 juillet 1905;;Messhof;Annapurna Interactive;Action-Adventure , Adventure , Simulation , Sports;;0;PC
Yes, Your Grace: Snowfall;https://www.grouvee.com/games/100390-yes-your-grace-snowfall/;dimanche 16 juillet 1905;;Brave At Night;Brave At Night;Role-Playing , Simulation;Yes, Your Grace;0;PC
Climb Challenge - Find Items Cyberpunk;https://www.grouvee.com/games/101685-climb-challenge-find-items-cyberpunk/;Jan 3, 2024;;Hede;Hede;Action-Adventure , Puzzle;;0;Linux, Mac, PC
TRAMCITY HAKODATE;https://www.grouvee.com/games/98765-tramcity-hakodate/;Jan 4, 2024;;TRAMWORKS;TRAMWORKS;Driving/Racing , Simulation;;0;PC
BIKE RIDE 3D;https://www.grouvee.com/games/99311-bike-ride-3d/;Jan 5, 2024;;;;Driving/Racing;;0;PC
Stay Still;https://www.grouvee.com/games/100749-stay-still/;Jan 6, 2024;;;ASYLUM Games;;;0;
Supernormal;https://www.grouvee.com/games/100748-supernormal/;Jan 8, 2024;;;;;;0;
NovaX;https://www.grouvee.com/games/99310-novax/;Jan 9, 2024;;;;Action-Adventure;;0;PC
Despair: Blood Curse;https://www.grouvee.com/games/99394-despair-blood-curse/;Jan 10, 2024;;;;Horror;;0;PC
Devil May Cry: Peak of Combat;https://www.grouvee.com/games/98920-devil-may-cry-peak-of-combat/;Jan 10, 2024;;;;Action;;0;Android
Frostrain;https://www.grouvee.com/games/102097-frostrain/;Jan 11, 2024;;STEWDIO;Jungle Game Lab;Strategy;;0;PC
Metal Ascension;https://www.grouvee.com/games/98860-metal-ascension/;Jan 11, 2024;;;;;;0;
ARRIVAL: ZERO EARTH;https://www.grouvee.com/games/98859-arrival-zero-earth/;Jan 12, 2024;;;;;;0;PC
Angel at Dusk;https://www.grouvee.com/games/101563-angel-at-dusk/;Jan 12, 2024;;Akiragoya;Henteko Doujin , Sanuk Games;Shoot 'Em Up;;0;Nintendo Switch, PC
Mortisomem;https://www.grouvee.com/games/99392-mortisomem/;Jan 12, 2024;;;;Horror;;0;PC
Sovereign Syndicate;https://www.grouvee.com/games/99362-sovereign-syndicate/;Jan 15, 2024;;;;Role-Playing;;0;PC
Toxic Bomb;https://www.grouvee.com/games/101484-toxic-bomb/;Jan 15, 2024;;Locomalito;;Action , Platformer;;0;PC
Toxic Tomb;https://www.grouvee.com/games/99845-toxic-tomb/;Jan 15, 2024;;Locomalito;;Action , Platformer;;0;PC
Ravendawn;https://www.grouvee.com/games/95338-ravendawn/;Jan 16, 2024;;Tavernlight Games;Tavernlight Games;MMORPG;;0;PC
77th: The Game;https://www.grouvee.com/games/100961-77th-the-game/;Jan 17, 2024;;Lavatsj Games;Lavatsj Games;Puzzle;;0;PC
Distant Sun;https://www.grouvee.com/games/102035-distant-sun/;Jan 17, 2024;;;;Action-Adventure , First-Person Shooter , Role-Playing;;0;PC
No Case Should Remain Unsolved;https://www.grouvee.com/games/102110-no-case-should-remain-unsolved/;Jan 17, 2024;;;;Visual Novel;;0;Nintendo Switch, PC
Floomy;https://www.grouvee.com/games/98930-floomy/;Jan 18, 2024;;;;Platformer;;0;PC
New Cycle;https://www.grouvee.com/games/97205-new-cycle/;Jan 18, 2024;;Core Engage;Daedalic Entertainment;Simulation;;0;PC
Three Kingdoms Zhao Yun;https://www.grouvee.com/games/99312-three-kingdoms-zhao-yun/;Jan 18, 2024;;;ETime Studio;Role-Playing;;0;PC
Apex Heroines;https://www.grouvee.com/games/101334-apex-heroines/;Jan 19, 2024;;Xiaoxiao;Leoful;Action , Action-Adventure , Role-Playing;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Gordian Rooms 2 A Curious Island;https://www.grouvee.com/games/102877-gordian-rooms-2-a-curious-island/;Jan 19, 2024;;Crimsonite Games;Crimsonite Games;Adventure , Puzzle;;0;PC
Jailbreaker;https://www.grouvee.com/games/98931-jailbreaker/;Jan 23, 2024;;;;;;0;
Little Known Galaxy;https://www.grouvee.com/games/102414-little-known-galaxy/;Jan 23, 2024;;;;Adventure;;0;Mac, PC
Remnant Records;https://www.grouvee.com/games/101585-remnant-records/;Jan 23, 2024;;Noctiluca;Noctiluca;Horror;;0;PC
Dracula Awakens;https://www.grouvee.com/games/99460-dracula-awakens/;Jan 24, 2024;;;;Horror;;0;PC
Plastomorphosis;https://www.grouvee.com/games/99453-plastomorphosis/;Jan 24, 2024;;;;Horror;;0;PC
Toribash Next;https://www.grouvee.com/games/98764-toribash-next/;Jan 24, 2024;;Nabi Studios;Nicalis, Inc.;Simulation , Strategy;Toribash;0;PC
Darkcean;https://www.grouvee.com/games/98969-darkcean/;Jan 25, 2024;;;;Action;;0;PC
Macross: Shooting Insight;https://www.grouvee.com/games/97672-macross-shooting-insight/;Jan 25, 2024;;Kaminari Games;Bushiroad;Shoot 'Em Up;Macross;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Lorhaven: Cursed War;https://www.grouvee.com/games/99030-lorhaven-cursed-war/;Jan 26, 2024;;GoldenGod Games;GoldenGod Games;Strategy;;0;PC
Minimalist Tower Defense;https://www.grouvee.com/games/99662-minimalist-tower-defense/;Jan 26, 2024;;;;Strategy;;0;PC
Chronique des Silencieux;https://www.grouvee.com/games/100676-chronique-des-silencieux/;Jan 29, 2024;;Pierre Feuille Studio;Pierre Feuille Studio;Adventure;;0;Linux, Mac, PC
Poppy Playtime: Chapter 3;https://www.grouvee.com/games/101830-poppy-playtime-chapter-3/;Jan 30, 2024;;MOB Games;MOB Games;Adventure , Puzzle;Playtime;0;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Postmouse;https://www.grouvee.com/games/99367-postmouse/;Jan 30, 2024;;;The Animation Workshop;Adventure , Platformer;;0;PC
Don't Pee;https://www.grouvee.com/games/102315-dont-pee/;Feb 1, 2024;;;;;;0;PC
Dont Pee;https://www.grouvee.com/games/102059-dont-pee/;Feb 1, 2024;;;;Adventure , Horror , Simulation;;0;PC
Exotic Fighter;https://www.grouvee.com/games/98913-exotic-fighter/;Feb 1, 2024;;Eric Hodges , External Revenue LLC;Eric Hodges;Fighting;;0;PC
Project Demigod;https://www.grouvee.com/games/102143-project-demigod/;Feb 1, 2024;;;;;;0;PC
GUNVOLT RECORDS: Cychronicle;https://www.grouvee.com/games/100921-gunvolt-records-cychronicle/;Feb 5, 2024;;Inti Creates Co., Ltd.;Inti Creates Co., Ltd.;Music/Rhythm;Azure Striker Gunvolt;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Tales of Spark;https://www.grouvee.com/games/99378-tales-of-spark/;Feb 5, 2024;;;;Action-Adventure , Role-Playing;;0;PC
Connected Hearts Cost of Beauty Collectors Edition;https://www.grouvee.com/games/101758-connected-hearts-cost-of-beauty-collectors-edition/;Feb 6, 2024;;;;Adventure , Puzzle;;0;PC
