Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Mullet Mad Jack;May 15, 2024;Hammers;Epopeia Games;First-Person Shooter;;3,72;PC
The Casting of Frank Stone;Sep 3, 2024;Behaviour Interactive , Supermassive Games;Behaviour Interactive;Adventure;Dead by Daylight;3,03;PC, PlayStation 5, Xbox Series X|S
Another Code: Recollection;Jan 19, 2024;Arc System Works Co,, Ltd, , CING, Inc, , Nintendo;Nintendo;Adventure , Compilation , Puzzle;Trace Memory;3,68;Nintendo Switch
The Thaumaturge;Mar 4, 2024;Fool's Theory;11 Bit Studios;Role-Playing;;3,43;PC
Celeste 64: Fragments of the Mountain;Jan 29, 2024;Extremely OK Games , Maddy Makes Games;Maddy Makes Games;Platformer;Celeste;3,41;Linux, PC
Home Safety Hotline;Jan 16, 2024;Night Signal Entertainment;Night Signal Entertainment;Horror;;3,38;PC
Supermarket Simulator;Feb 20, 2024;;;;;3,58;PC
Contra: Operation Galuga;Mar 12, 2024;WayForward Technologies;Konami Corporation , Limited Run Games;Action , Shooter;Contra;3,19;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
EA Sports College Football 25;Jul 19, 2024;EA Tiburon;Electronic Arts;Football;;3,85;PlayStation 5, Xbox Series X|S
Cat Quest III;Aug 8, 2024;The Gentlebros Pte, Ltd,;Kepler Interactive;Action , Role-Playing;Cat Quest;3,88;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
World of Warcraft: The War Within;Aug 26, 2024;Blizzard Entertainment;Blizzard Entertainment;MMORPG;Warcraft;3,46;Mac, PC
Crypt Custodian;Aug 27, 2024;Kyle Thompson;H2 Interactive Co, Ltd, , Kyle Thompson , Top Hat Studios, Inc;Action-Adventure , Platformer;;4,19;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Lollipop Chainsaw RePop;Sep 12, 2024;Dragami Games;Dragami Games;Action;Lollipop Chainsaw;3,35;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
EA Sports FC 25;Sep 20, 2024;EA Canada , EA Sports;EA Sports;Soccer;EA Sports FC;2,77;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Infinity Nikki;Dec 2024;Papergames;Infold Games;Action-Adventure;Nikki Up2U;3,54;Android, PC, PlayStation 4, PlayStation 5, iPhone
