Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
RPG Maker With;Apr 11, 2024;Gotcha Gotcha Games;Gotcha Gotcha Games , NIS America, Inc,;Educational , Role-Playing;RPG Maker;1;Nintendo Switch, PlayStation 4, PlayStation 5
Our Adventurer Guild;Apr 12, 2024;;;Role-Playing , Strategy;;4;PC
LipTrip ~My Boss Is My Heat Suppressant?!~;Apr 15, 2024;SukeraSomero;;Visual Novel;;5;PC
Jim Brimstone: Devil Advocate;Apr 16, 2024;;;Visual Novel;;4;Browser
Kingsgrave;Apr 17, 2024;;Alawar Entertainment;Action-Adventure , Adventure;;1;PC
Rauniot;Apr 17, 2024;Act Normal Games;;Adventure;;3;PC
ArcRunner;Apr 18, 2024;Trickjump Games Ltd;PQube;Action;;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Bunny Garden;Apr 18, 2024;Qureate;Arc System Works Co,, Ltd, , Qureate;Adventure , Simulation;;3;Nintendo Switch, PC
Nexus 5X;Apr 18, 2024;Whatboy Games;Paradox Arc;Strategy;;4;PC
Catch Them Sweetie;Apr 19, 2024;;;Card Game , Fishing;;3;PC
An alt girl for skoof;Apr 21, 2024;Terletski Games , RIKANIMATION;Terletski Games;Visual Novel;;4;Android, PC
Lunar Lander: Beyond;Apr 23, 2024;Dreams Uncorporated;Atari SA;Simulation;Lunar Lander;3;Atari VCS, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Rumble Club;Apr 23, 2024;Lightfox Games, Inc,;Mad Mushroom;Action , Fighting;;1;Android, Mac, PC
Super Mayor;Apr 23, 2024;;;Platformer;;2;PC
Always Forward;Apr 24, 2024;;;Platformer;;1;PC
Metroid: Verticality;Apr 25, 2024;;;Action-Adventure , Platformer;;4;PC, Super Nintendo Entertainment System
Werewolf: The Apocalypse - The Book of Hungry Names;Apr 25, 2024;;;Text Adventure;;3;Android, PC, iPhone
Whisker Waters;Apr 25, 2024;Underbite Games;Maximum Games , Merge Games;Adventure;;1;Nintendo Switch, PC, PlayStation 5
Pools;Apr 26, 2024;;;Horror , Simulation;;5;PC
The Lullaby of Life;Apr 30, 2024;1 Simple Game;Midwest Games;Music/Rhythm , Puzzle;;3;PC
Moss Piglets;May 1, 2024;;;Real-Time Strategy;;1;PC
Almost Dungeon;May 3, 2024;;;Strategy;;2;PC
Disminal;May 3, 2024;Brian Gonnet;Brian Gonnet;Adventure , Simulation;;5;PC
Idle Hero TD - Tower Defense;May 3, 2024;Swell Games LLC;Swell Games LLC;Strategy;;1;PC
KUNKUN Defender;May 3, 2024;;;First-Person Shooter;;1;PC
Puppet Master: The Game;May 3, 2024;October Games;Full Moon Features , October Games;Action;;4;PC
Introspection;May 5, 2024;;;Shooter;;2;PC
Light Unseen;May 6, 2024;;;Action , Role-Playing;;1;PC
Nancy Drew: Mystery of the Seven Keys;May 7, 2024;Her Interactive, Inc,;;Adventure;Nancy Drew;4;Mac, PC
Asleep - Ato 1;May 9, 2024;;;Horror;;3;PC
Cookard;May 10, 2024;;;Card Game;;3;PC
Garten of BanBan VII;May 10, 2024;;Euphoric Brothers;;Garten of Banban;1;Mac, PC
PENGURU;May 13, 2024;;;Brawler , Shooter;;1;PC
Braid, Anniversary Edition;May 14, 2024;;;Platformer , Puzzle;;5;Android, Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S, iPad, iPhone
Ghost Moon High Noon;May 14, 2024;;;Shooter;;2;PC
Lootun;May 14, 2024;;;;;3;PC
Mid-Death Crisis;May 14, 2024;;;Strategy;;3;PC
Morbid: The Lords of Ire;May 17, 2024;Still Running;Merge Games;;;3;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
My Little Pony: A Zephyr Heights Mystery;May 17, 2024;Drakhar Studio;Outright Games;Action-Adventure , Platformer;My Little Pony;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
My Little Pony: A Zephyr Heights Mystery;May 17, 2024;Drakhar Studio;Outright Games;Action , Adventure;My Little Pony;1;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Seablip;May 17, 2024;;;Real-Time Strategy , Role-Playing;;5;Mac, PC
Mr, Hopp's Playhouse HD;May 22, 2024;;;Horror;;3;PC
RKGK / Rakugaki;May 22, 2024;Wabisabi Games;Wabisabi Games;Action , Platformer;;3;PC
Galacticare;May 23, 2024;;;Simulation;;3;PC
Pine Hearts;May 23, 2024;;;;;3;PC
Sonar Shock;May 24, 2024;;;Action-Adventure , Role-Playing;;2;PC
Doki Doki AI Interrogation;May 25, 2024;YAMADA;YAMADA;;;2;PC
Marsmare: Alienation;May 27, 2024;;;Action-Adventure , Platformer;;3;PC
Rack and Slay;May 27, 2024;;2 Left Thumbs;Billiards , Puzzle;;2;PC
Echoes;May 29, 2024;Nova-box;Nova-box;Adventure;;3;Linux, Mac, PC
Creepy Tale Some Other Place;May 30, 2024;Creepy Brothers;Creepy Brothers;Action , Adventure , Puzzle;;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Madzik - Episode 1;May 30, 2024;Bkom Studios;Bkom Studios;Action;;2;PC
Picross S: Namco Legendary Edition;May 30, 2024;Jupiter Corp,;Jupiter Corp,;Puzzle;Picross , Picross S;3;Nintendo Switch
Little Keepers;May 31, 2024;;;Action;;2;PC
Soulmask;May 31, 2024;CampFire Studio;Qooland Games;Adventure , MMORPG , Simulation;;3;PC
Soulmask;May 31, 2024;CampFire Studio;Qooland Games;Action-Adventure;;3;PC
No Sleep for Sole;Jun 1, 2024;Ofir Gabay;Ofir Gabay;Adventure;;2;PC
The Elision Effect;Jun 1, 2024;teamakes,games;teamakes,games;Horror , Puzzle;;5;PC
Repella Fella;Jun 5, 2024;Misadventurous;;Adventure;;4;Linux, Mac, PC
The Smurfs: Village Party;Jun 6, 2024;Balio Studio;Microïds;Adventure , Minigame Collection;Smurfs;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Bodycam;Jun 7, 2024;Reissad Studio;Reissad Studio;First-Person Shooter;;4;PC
Imitosis;Jun 7, 2024;;;Text Adventure;;2;PC
Simpler Times;Jun 7, 2024;stoneskip,;iam8bit;Adventure;;3;PC
Pathfinder: Wrath of the Righteous - A Dance of Masks;Jun 13, 2024;Owlcat Games;META Publishing;Role-Playing , Strategy;Pathfinder , Pathfinder: Wrath of the Righteous;4;Mac, Nintendo Switch, PC, PlayStation 4, Xbox One
SunnySide;Jun 14, 2024;RainyGames;Merge Games;Role-Playing , Simulation;;1;PC
One in a Krillion;Jun 15, 2024;;DigiPen Institute of Technology;Action;;2;PC
Go Go Town!;Jun 18, 2024;Prideful Sloth;CULT Games , Prideful Sloth;Simulation;;3;PC
Starship Troopers: Terran Command - Urban Onslaught;Jun 18, 2024;The Aristocrats;Slitherine Software UK Ltd,;Real-Time Strategy;Starship Troopers;4;PC
The Fall of Elena Temple;Jun 18, 2024;GrimTalin;;Platformer , Puzzle;;4;PC, Playdate
Republic of Pirates;Jun 19, 2024;Crazy Goat Games;PQube;Real-Time Strategy , Strategy;;2;PC
Crab God;Jun 20, 2024;Chaos Theory Games;Firesquid;Strategy;;4;PC
Dystopika;Jun 21, 2024;Voids Within;UNIKAT Label , Voids Within;Simulation;;5;PC
Little Duck Adventure;Jun 21, 2024;;;Adventure;;1;PC
One Deck Galaxy;Jun 24, 2024;Handelabra Games Inc,;Handelabra Games Inc,;Card Game , Strategy;;2;PC
Everspell;Jun 26, 2024;;;Card Game , Role-Playing , Strategy;;1;PC
Gothic Classic Khorinis Saga;Jun 27, 2024;Pluto 13 GmbH;Nordic Games Publishing AB;Role-Playing;Gothic;4;Nintendo Switch
Don't Let it Die;Jun 28, 2024;;;Strategy;;3;PC
Copycat;Jul 1, 2024;Spoonful of Wonder;Neverland Entertainment , Nuuvem Inc;Adventure;;3;PC
Dungeon Clawler;Jul 1, 2024;Stray Fawn Studio;PlayWorks , Stray Fawn Studio;Role-Playing;;4;Linux, Mac, PC
StormEdge;Jul 2, 2024;Shieldbreaking Games;Edigger , HypeTrain Digital;Action , Role-Playing;;4;PC
Vokabulantis;Jul 5, 2024;;;;;5;
My Bathtub Companion;Jul 5, 2024;Sweet Cakes Games;Sweet Cakes Games;Simulation;;3;PC
Royal Card Clash;Jul 10, 2024;;;Card Game;;3;PC
The Ensign;Jul 10, 2024;Amir Rajan;Scratchwork Development;Role-Playing , Text Adventure;A Dark Room;2;PC
Illusion Carnival;Jul 11, 2024;;;Horror , Role-Playing;;4;PC
Aard and Wyzz: The rise of minions;Jul 15, 2024;;;Action-Adventure;;2;PC
Renaissance Kingdom Wars;Jul 15, 2024;Reverie World Studios;indie,io;Real-Time Strategy;Kingdom Wars;4;PC
Cataclismo;Jul 16, 2024;Digital Sun;Hooded Horse;Real-Time Strategy;;3;PC
EvilVEvil;Jul 16, 2024;Toadman Interactive;Toadman Interactive;Action , First-Person Shooter;;4;PC, PlayStation 5, Xbox Series X|S
Sanguinaria;Jul 17, 2024;;;Action-Adventure;;2;PC
"Yeah! You Want ""Those Games,"" Right? So Here You Go! Now, Let's See You Clear Them! 2";Jul 17, 2024;Monkeycraft Co, Ltd,;D3 Publisher Inc,;Minigame Collection , Puzzle;;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Sparedevil;Jul 18, 2024;Sludge Pipe Games LTD;Sludge Pipe Games LTD;First-Person Shooter;;3;Mac, PC
Wings of Seduction: Bust 'em out!;Jul 19, 2024;;;Action , Shoot 'Em Up;;3;PC
Broken Lens;Jul 22, 2024;Team Run;Flying Oak , Team Run;Puzzle;;3;PC
The New Denpa Men;Jul 22, 2024;Genius Sonority, Inc,;;Role-Playing;The Denpa Men;3;Nintendo Switch
F1 Manager 2024;Jul 23, 2024;;;Simulation , Sports;;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
�t�;Jul 23, 2024;Impossible;Impossible;Adventure , Simulation;;4;PC
Mini Airways;Jul 31, 2024;;;;;3;PC
Thalassa: Edge of the Abyss;Aug 1, 2024;Sarepta studio;Team17;Adventure;;3;PC
Mot�rdoom;Aug 2, 2024;Hobo Cat Games;Hobo Cat Games;Action , Sports;;2;Linux, PC
REAL WEB LEGENDS: Carter's Quest;Aug 2, 2024;;;Action-Adventure;;4;PC
Zero Below the Sun;Aug 2, 2024;Black Curtain Studio;Black Curtain Studio;Action-Adventure , Horror;;1;PC
Eden Genesis;Aug 6, 2024;Aeternum Game Studios S,L;Aeternum Game Studios S,L;Action-Adventure , Platformer;;5;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Level Zero: Extraction;Aug 6, 2024;DogHowl Games;tinyBuild;Shooter;;2;PC
ONE BTN BOSSES;Aug 6, 2024;Midnight Munchies;Midnight Munchies , Outersloth;Shoot 'Em Up;;3;PC
Blackwoods;Aug 7, 2024;;;First-Person Shooter;;1;PC
Dungeons & Degenerate Gamblers;Aug 8, 2024;;;Strategy;;3;
Bearnard;Aug 12, 2024;;;Action-Adventure , Card Game , Puzzle;;2;PC
Old School RPG;Aug 12, 2024;;;Role-Playing;;1;PC
Nodebuster;Aug 13, 2024;Goblobin;Goblobin;Strategy;;4;PC
Tavern Manager Simulator;Aug 13, 2024;;;Simulation;;3;PC
Gladiate!;Aug 14, 2024;;;Card Game;;1;PC
Streets of Rogue 2;Aug 14, 2024;Matt Dabrowski;tinyBuild;Action-Adventure , Role-Playing;Streets of Rogue;4;Linux, Mac, PC
Dredge - The Iron Rig;Aug 15, 2024;Black Salt Games;Team17;Fishing;;2;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Mirth Melody;Aug 15, 2024;Clay Game Studio;Clay Game Studio;Music/Rhythm;Mirth Island;2;PC
Castaway;Aug 17, 2024;Canari Games;Canari Games;Action-Adventure;;2;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Knights of the Road;Aug 17, 2024;Shiny Byte Studio;Shiny Byte Studio;Action , Platformer;;2;PC
Terminal City;Aug 17, 2024;Powerhoof;Powerhoof;Adventure;;3;PC
Guild Wars 2: Janthir Wilds;Aug 20, 2024;ArenaNet, Inc,;ArenaNet, Inc,;MMORPG;Guild Wars;3;PC
Emerald Seaglass;Aug 23, 2024;;;Role-Playing;;3;
Galaxy Burger;Aug 23, 2024;;;Simulation;;5;PC
HAREM ! RANCH LIFE;Aug 23, 2024;;;Simulation;;4;PC
Rum & Gun;Aug 26, 2024;;;Action , Role-Playing , Shooter;;3;PC
Doraemon: Dorayaki Shop Story;Aug 27, 2024;Kairosoft Co,, LTD;Kairosoft Co,, LTD;Simulation;Doraemon;1;Android, Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X|S, iPad, iPhone
Bloodless;Aug 29, 2024;Point N' Sheep;3D Realms Entertainment;Action;;4;PC
Backrooms: Last Room;Aug 30, 2024;KInTstudio;KInTstudio;Horror , Simulation;;5;PC
Dale & Dawson Stationery Supplies;Aug 30, 2024;Striped Panda Studios;Striped Panda Studios;Simulation , Strategy;;4;PC
The Depths of Avalon;Aug 30, 2024;;;Action;;2;PC
Tomb Raider Collection 1;Aug 30, 2024;Core Design Ltd,;Crystal Dynamics, Inc,;Adventure , Compilation;Tomb Raider;4;Evercade
Would You Call Him a Bad Man?;Aug 30, 2024;;;Minigame Collection , Music/Rhythm;;1;PC
The Hidden Art of Innkeeping;Sep 3, 2024;SeaPhoenix;SeaPhoenix;Adventure , Simulation;;4;PC
Necroking;Sep 4, 2024;;;Card Game , Strategy;;3;PC
Son and Bone;Sep 4, 2024;TeamKill Media;TeamKill Media;First-Person Shooter;;2;PC, PlayStation 5
Gimmick! 2;Sep 5, 2024;Bitwave Games;Clear River Games;Platformer;Gimmick!;1;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Selfloss;Sep 5, 2024;Goodwin Games;Maximum Entertainment , Merge Games;Action-Adventure;;1;PC
Cards of Heart;Sep 6, 2024;;;Card Game;;3;PC
Mega Man X8 16-bit;Sep 6, 2024;;;Action , Platformer;;5;PC
Perennial Order;Sep 6, 2024;;;;;4;
Roots of Yggdrasil;Sep 6, 2024;ManaVoid Entertainment;ManaVoid Entertainment;Puzzle , Strategy;;3;PC
Elsie;Sep 10, 2024;Knight Shift Games;Playtonic Games;Action , Platformer;;3;PC
Fears to Fathom Woodbury Getaway;Sep 12, 2024;;;Adventure , Horror;;3;PC
Jackbox Naughty Pack;Sep 12, 2024;Jellyvision;Jellyvision;Minigame Collection , Trivia/Board Game;The Jackbox Party Pack;1;Amazon Fire TV, Apple TV, Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X|S, iPad
Archons: Arena;Sep 13, 2024;;;Card Game , Role-Playing;;2;PC
Meme Mayhem;Sep 14, 2024;;;Card Game , Strategy;;3;PC
Adventure of the Bucket;Sep 17, 2024;;;Platformer , Puzzle;;2;PC
Slackers - Carts of Glory;Sep 18, 2024;;;Driving/Racing;;2;PC
Witch You Want;Sep 18, 2024;;;Visual Novel;;4;Browser, PC
Seasonspree;Sep 20, 2024;Kitewing Studio;Kitewing Studio;Adventure;;4;
The Karate Kid: Street Rumble;Sep 20, 2024;Odaclick Game Studio;GameMill Entertainment;Brawler;Karate Kid;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Dark Sky;Sep 24, 2024;Ganymede Games;Midwest Games;Card Game , Role-Playing;;3;PC
Dungeon Tycoon;Sep 25, 2024;Goblinz Studio;Goblinz Publishing;Strategy;;3;PC
Apartment Story;Sep 26, 2024;Blue Rider Interactive;Blue Rider Interactive;Adventure , Simulation;;2;PC
Breachway;Sep 26, 2024;Edgeflow Studio;Hooded Horse;Card Game , Strategy;;3;PC
Exographer;Sep 26, 2024;;Abylight;Adventure;;1;
Flowstone Saga;Sep 26, 2024;Impact Gameworks;Doyoyo , Impact Gameworks;Role-Playing;;3;PC
Golden Lap;Sep 26, 2024;Funselektor Labs Inc, , Strelka Games;Funselektor Labs Inc,;Driving/Racing , Simulation;;3;PC
Monopoly;Sep 26, 2024;Engine Software B,V,;Ubisoft Entertainment;Trivia/Board Game;Monopoly;4;Amazon Luna, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Night Slashers: Remake;Sep 26, 2024;Storm Trident;Forever Entertainment;Brawler;Night Slashers;2;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Realm of Ink;Sep 27, 2024;;;;;3;PC
Endoparasitic 2;Oct 1, 2024;;;Horror;;2;PC
Janosik 2: Prologue;Oct 1, 2024;Onix Games;Retrovibe;Action-Adventure , Platformer;;4;PC
Picross: Records of The Shield Hero;Oct 3, 2024;Jupiter Corp,;Jupiter Corp,;Puzzle;Picross , The Shield Hero;3;Nintendo Switch
BlightFog;Oct 4, 2024;;;Role-Playing;;2;PC
Dungeon Antiqua;Oct 4, 2024;;;Role-Playing;;3;PC
SpongeBob SquarePants: The Patrick Star Game;Oct 4, 2024;PHL Collective;Outright Games;;SpongeBob SquarePants;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Taiyaki Fabulous Museum of Fish;Oct 5, 2024;;;Adventure , Puzzle;;5;Game Boy, Game Boy Color
Necro Story;Oct 7, 2024;Rablo Games;Rablo Games;Role-Playing , Strategy;;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Keeper's Toll;Oct 8, 2024;Stingbot Games;Stingbot Games;;;4;PC
Oh Baby Kart;Oct 8, 2024;;;Driving/Racing;;3;PC
Traveller's Hymn;Oct 8, 2024;;;Role-Playing;;2;PC
Duck Paradox;Oct 9, 2024;Magic Games;Midwest Games;Platformer;;3;PC
Glyphica: Typing Survival;Oct 9, 2024;;Squeaky Wheel;Educational , Strategy;;2;PC
Plague: London 1665;Oct 9, 2024;;;Action-Adventure , Role-Playing;;2;PC
Amber Isle;Oct 10, 2024;;Team17;Simulation;;2;Nintendo Switch, PC
Backyard Baseball '97;Oct 10, 2024;Mega Cat Studios;Playground Productions;Baseball;Backyard Sports;4;PC
Decline's Drops;Oct 10, 2024;Moulin aux Bulles Studio;Moulin aux Bulles Studio;Brawler , Platformer;;2;PC
Into Black;Oct 10, 2024;The Binary Mill;The Binary Mill;Action-Adventure;;5;Meta Quest
Transformers: Galactic Trials;Oct 11, 2024;3DClouds,it;Outright Games;Action , Driving/Racing , Vehicular Combat;Transformers;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
BURGGEIST;Oct 14, 2024;Ghrian Studios;Ghrian Studios;Action , Strategy;;3;PC
Just Dance 2025 Edition;Oct 15, 2024;Ubisoft Paris Studios;Ubisoft Entertainment;Music/Rhythm;Just Dance;3;Nintendo Switch, PlayStation 5, Xbox Series X|S
Just Dance VR;Oct 15, 2024;Ubisoft Paris Studios;Ubisoft Entertainment;Music/Rhythm;Just Dance;3;Meta Quest
Wizardry Variants Daphne;Oct 15, 2024;;;;;4;Android
Age of Empires Mobile;Oct 17, 2024;Level Infinite;Microsoft Studios;Real-Time Strategy;Age of Empires;1;Android, iPhone
Arizona Sunshine Remake;Oct 17, 2024;Vertigo Games;Vertigo Gaming Inc,;First-Person Shooter;Arizona Sunshine;3;Meta Quest, PC, PlayStation 5
RetroRealms: Ash vs Evil Dead;Oct 18, 2024;WayForward Technologies;Boss Team Games;Brawler , Platformer;Evil Dead , RetroRealms;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
East Trade Tycoon: Inheritance;Oct 21, 2024;PandaUpStudios;PandaUpStudios;Simulation , Strategy;;2;PC
I'm on Observation Duty 7;Oct 22, 2024;Dreamloop Games , Notovia;Notovia;Horror , Puzzle;I'm on Observation Duty;5;PC
I'm on Observation Duty 7;Oct 22, 2024;;;Horror;;4;PC
Lynked: Banner of the Spark;Oct 22, 2024;FuzzyBot;;;;3;PC
Son of a Gun;Oct 22, 2024;;Untold Tales;Action , Shooter;;2;PC
The Axis Unseen;Oct 22, 2024;Just Purkey Games;Just Purkey Games;Action-Adventure;;4;PC
Age of History 3;Oct 23, 2024;;;Real-Time Strategy , Strategy;;4;Mac, PC
Creatures of War;Oct 23, 2024;;;Action-Adventure , Horror;;1;PC
While We Wait Here;Oct 23, 2024;Bad Vices Games;Bad Vices Games;Adventure , Horror , Simulation;;5;PC
Puppet House;Oct 24, 2024;;;Horror , Puzzle;;2;PC
The Black Grimoire: Cursebreaker;Oct 27, 2024;;;Adventure , Role-Playing;;1;PC
Liminalcore;Oct 28, 2024;Ashen Studios , Shadow Owl Studios;Ashen Studios , Shadow Owl Studios;Adventure , Horror , Simulation;;5;
Reel Fishing: Days of Summer;Oct 28, 2024;;Natsume;Fishing;Reel Fishing;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
The Fear Business;Oct 28, 2024;;Torture Star Video;Horror;;5;PC
Breach the Abyss;Oct 29, 2024;;;Action , Shooter;;4;PC
Blackheart;Oct 30, 2024;;;Action-Adventure , Role-Playing;;2;PC
THROUGH;Oct 30, 2024;;;Action;;1;PC
Behemoth;Oct 31, 2024;The Behemoth;The Behemoth;Action;;3;PC
Darso Roads;Oct 31, 2024;Vikintor;Vikintor;Driving/Racing , Horror;;2;PC
No More Room In Hell 2;Oct 31, 2024;Lever Games;Lever Games;Action , First-Person Shooter;No More Room In Hell;3;PC
Totally Spies! Cyber Mission;Oct 31, 2024;Balio Studio , Vetasoft;Microïds;Action-Adventure , Puzzle;Totally Spies;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Homicipher;Nov 1, 2024;八名木Games , 斑企画;Gamera Games;Horror , Visual Novel;;4;Android, PC
Death Note: Killer Within;Nov 5, 2024;Grounding Inc,;Namco Bandai Games Inc,;Strategy;Death Note;1;PC, PlayStation 4, PlayStation 5
Freenergy;Nov 7, 2024;;;Strategy;;2;PC
River City Saga: Three Kingdoms Next;Nov 7, 2024;R-Force Entertainment;Arc System Works Co,, Ltd,;Brawler;Kunio-Kun;4;Nintendo Switch, PC, PlayStation 4
The Strange Story Of Brian Fisher: Chapter 2;Nov 8, 2024;;;Adventure , Puzzle;;2;PC
HeistGeist;Nov 11, 2024;;;Adventure , Card Game , Role-Playing;;5;PC
Liminal Universe;Nov 12, 2024;Gvn Games;Gvn Games;Horror , Simulation;;4;PC
Crusty Proto;Nov 13, 2024;3DI70R;3DI70R;Action , Horror;;2;PC
420BLAZEIT 2: GAME OF THE YEAR;Nov 14, 2024;;;Shooter;;3;PC
Brutal Katana;Nov 14, 2024;;;;;3;PC
Echoes of Dread;Nov 15, 2024;;;Horror , Puzzle;;2;PC
Project Shoreline;Nov 15, 2024;;;Adventure , Platformer;;2;PC
Saturn;Nov 15, 2024;;;Role-Playing;;4;PC
Kingdoms of Age;Nov 18, 2024;;;Card Game;;1;PC
Threshold;Nov 19, 2024;;Critical Reflex;Adventure , Horror;;5;PC
Ultra Cop;Nov 19, 2024;JG Roos;MercySoft;First-Person Shooter;;3;PC
Cook For Love;Nov 21, 2024;RedDeerGames;RedDeerGames;;;3;Nintendo Switch
Lifetakers & Heartbreakers;Nov 21, 2024;;;Shooter;;1;PC
Cardaire;Nov 22, 2024;;;Card Game , Role-Playing;;3;PC
Starship Troopers Continuum;Nov 25, 2024;XR Games;Sony Pictures Virtual Reality;Action , First-Person Shooter , Shooter;Starship Troopers;2;Meta Quest, PlayStation 5
Mindlock - The Apartment;Nov 26, 2024;;;Puzzle;;3;PC
Love Angel Syndrome;Nov 27, 2024;;;Visual Novel;;3;PC
Vartra Abyss;Nov 28, 2024;;;Action-Adventure , Role-Playing;;1;PC
The House of Da Vinci VR;Dec 4, 2024;Blue Brain Games;Blue Brain Games;Puzzle;The House of Da Vinci;3;Meta Quest
Dragon Eclipse;Dec 5, 2024;;;Card Game;;3;PC
Entropy Survivors;Dec 5, 2024;Moving Pieces Interactive;;Action , Dual-Joystick Shooter;;2;PC, PlayStation 5, Xbox Series X|S
Skydance's BEHEMOTH;Dec 5, 2024;;;Action-Adventure;;4;Meta Quest, PC, PlayStation 5
Chosen Card Chronicles;Dec 6, 2024;;;Card Game;;1;PC
The Thing Remastered;Dec 6, 2024;;;Action , Horror , Shooter;;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Fairy Tail 2;Dec 11, 2024;GUST Co,, Ltd, , Tecmo Koei Co,, Ltd,;Tecmo Koei Co,, Ltd,;Adventure , Role-Playing;Fairy Tail;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Breath of Death VII: The Beginning: Reanimated;Dec 12, 2024;;;Role-Playing;;4;PC
Cabin Factory;Dec 13, 2024;;;Horror;;4;PC
KLETKA;Dec 13, 2024;Callback , in404;Callback , in404;Horror;;4;PC
The Cabin Factory;Dec 13, 2024;;Future Friends Games;Adventure , Horror , Simulation;;2;PC
The Power of Doznath;Dec 13, 2024;;;Action , Role-Playing;;1;PC
The Dark Queen of Mortholme;Dec 16, 2024;;Itch,io;Action-Adventure;;4;Linux, Mac, PC
On Your Tail;Dec 16, 2024;Memorable Games;Humble Bundle;Adventure;;4;Nintendo Switch, PC
Usagi Sekai - Bunny Shaman;Dec 16, 2024;;;Card Game;;2;PC
Tarisland;Dec 24, 2024;;;;;2;PC
REVEREX: DX;Dec 25, 2024;;;Action , Platformer;;2;PC
10 Dead Doves;Jan 1, 2024;Duonix Studios , Mark Byram II , Sean-Michael Millard;Duonix Studios;Action-Adventure;;0;PC
171;Jan 1, 2024;Betagames Group;;Action-Adventure;;0;PC
33 Immortals;Jan 1, 2024;Thunder Lotus Games;Thunder Lotus Games;Action;;0;PC, Xbox Series X|S
Albatroz;Jan 1, 2024;Among Giants;Soedesco;Adventure;;0;PC
Ale Abbey;Jan 1, 2024;Hammer&Ravens;Shiro Unlimited;Simulation;;0;PC
Amerzone: The Explorer's Legacy;Jan 1, 2024;;;;;0;
Among the Stars;Jan 1, 2024;Hidden Universe Games;Hidden Object Universe;Role-Playing , Simulation;;0;PC
ArcheAge Chronicles;Jan 1, 2024;XLGames;Kakao Games;MMORPG;ArcheAge;0;PC, PlayStation 5
Beastieball;Jan 1, 2024;Wishes Ultd,;Klei Entertainment Inc,;Role-Playing , Sports;;0;Mac, PC
Beneath;Jan 1, 2024;Camel 101;Camel 101;;;0;PC, PlayStation 5, Xbox Series X|S
Beyond These Stars;Jan 1, 2024;Balancing Monkey Games;Hooded Horse;Simulation , Strategy;;0;PC
Bloodrush: Undying Wish;Jan 1, 2024;Lightmancer Studios;Lightmancer Studios;Action;;0;Linux, PC
BrokenLore: UNFOLLOW;Jan 1, 2024;Serafini Productions;Serafini Productions;;;0;
Chaos Code -Nemesis Experiment-;Jan 1, 2024;FK Digital;FK Digital;Fighting;Chaos Code;0;Arcade
Chasmal Fear;Jan 1, 2024;MystiveDev;MystiveDev;Action-Adventure;;0;PC
Creeper World IXE;Jan 1, 2024;Knuckle Cracker;Knuckle Cracker;Real-Time Strategy , Simulation;Creeper World;0;PC
Debtors' Club;Jan 1, 2024;mecagames;indie,io;Adventure;;0;PC
Deep Space Directive;Jan 1, 2024;One Wheel Studio;One Wheel Studio;Simulation , Strategy;;0;PC
Diesel Legacy: The Brazen Age;Jan 1, 2024;Modus Games , Modus Studios Brazil;Modus Games;Fighting;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Digested;Jan 1, 2024;;;;;0;
